Number/ Index, Name of Regency/Municipality,x1,x2,x3,x4,x5,x6
1,Kabupaten Pacitan,84.19,2.04,68.57,385890,76.71,71.7
2,Kabupaten Ponorogo,89.94,4.38,71.06,450920,96.3,87.49
3,Kabupaten Trenggalek,84.89,3.53,70.06,418705,75.78,75.48
4,Kabupaten Tulungagung,78.59,4.91,73.15,545930,97.4,85.37
5,Kabupaten Blitar,112.62,3.66,71.05,473966,93.33,75.67
6,Kabupaten Kediri,184.49,5.15,72.56,492551,96.35,86.92
7,Kabupaten Malang,276.58,5.4,70.6,489610,94.14,80.79
8,Kabupaten Lumajang,105.25,3.51,66.07,571290,95.73,83.24
9,Kabupaten Jember,257.09,5.44,67.32,497731,94.35,64.17
10,Kabupaten Banyuwangi,130.93,5.42,71.38,550555,94.16,81.15
11,Kabupaten Bondowoso,115.18,4.46,66.59,477034,93.44,52.82
12,Kabupaten Situbondo,86.95,3.68,67.78,492349,98.88,59.79
13,Kabupaten Probolinggo,223.32,4.55,66.26,452522,93.18,62.14
14,Kabupaten Pasuruan,159.78,6.03,68.93,548666,97.36,82.92
15,Kabupaten Sidoarjo,137.15,10.87,80.65,753080,96.82,95.05
16,Kabupaten Mojokerto,120.54,5.54,74.15,638191,98.37,87.34
17,Kabupaten Jombang,127.3,7.09,73.45,550236,99.44,90.95
18,Kabupaten Nganjuk,125.53,4.98,71.97,519726,99.03,81.84
19,Kabupaten Madiun,81.61,4.99,71.88,448641,95.1,89.09
20,Kabupaten Magetan,67.75,3.86,74.15,488179,99.9,88.4
21,Kabupaten Ngawi,130.81,4.25,71.04,459742,99.92,79.35
22,Kabupaten Bojonegoro,166.52,4.82,69.59,488003,97.24,90.96
23,Kabupaten Tuban,192.58,4.68,68.91,521109,96.4,83.8
24,Kabupaten Lamongan,166.82,4.9,73.12,586065,81.98,89.7
25,Kabupaten Gresik,166.35,8,76.5,707931,88.99,91.56
26,Kabupaten Bangkalan,215.97,8.07,64.36,448548,97.39,39.44
27,Kabupaten Sampang,237.23,3.45,62.8,415493,89.34,76.22
28,Kabupaten Pamekasan,137.12,3.1,66.4,393798,89.15,70.85
29,Kabupaten Sumenep,224.73,2.31,67.04,674636,98.29,65.66
30,Kota Kediri,22.55,6.37,78.6,639163,98.95,95.75
31,Kota Blitar,11.33,6.61,78.98,665838,97.08,96.77
32,Kota Malang,40.62,9.65,82.04,667895,99.93,87.08
33,Kota Probolinggo,17.91,6.55,73.66,559266,99.66,89.77
34,Kota Pasuruan,13.97,6.23,75.62,664357,99.65,92.1
35,Kota Mojokerto,8.37,6.87,78.43,667979,99.63,95.49
36,Kota Madiun,9.06,8.15,81.25,695312,99.53,97.31
37,Kota Surabaya,152.49,9.68,82.31,810743,98.06,95.2
38,Kota Batu,8.63,6.57,76.28,621753,100,95.57
